label,prob_benign_mean,prob_benign_std,prob_no_tumor_mean
0,0.053466078,0.01154098,0.9465339
0,0.087990984,0.029361416,0.912009
0,0.055052355,0.010648094,0.94494766
0,0.057754073,0.012591738,0.9422459
0,0.054281536,0.010921548,0.94571847
0,0.048138004,0.024829447,0.951862
0,0.036706995,0.013396285,0.963293
0,0.0667932,0.054151986,0.9332068
0,0.9344484,0.016009107,0.06555158
0,0.3439623,0.10639057,0.6560377
0,0.056076057,0.017831445,0.94392395
0,0.05260936,0.011839745,0.9473906
0,0.049740452,0.011418337,0.95025957
0,0.17355427,0.053542342,0.8264457
0,0.047912017,0.011481125,0.952088
0,0.944565,0.011470531,0.055435
0,0.9427815,0.015107035,0.057218492
0,0.90807146,0.0224999,0.09192854
0,0.05593939,0.013474494,0.9440606
0,0.78777426,0.15282932,0.21222574
0,0.9502984,0.012430743,0.04970157
0,0.061807558,0.02488624,0.9381924
0,0.05325251,0.014151933,0.9467475
0,0.94854134,0.012781279,0.051458657
0,0.94673073,0.011864584,0.053269267
0,0.9438552,0.014138927,0.056144774
0,0.051361725,0.013872873,0.94863826
0,0.14725444,0.18050924,0.85274553
0,0.0603313,0.019212956,0.9396687
0,0.054437406,0.012929806,0.9455626
0,0.05297103,0.01173575,0.947029
0,0.8647306,0.09261901,0.1352694
0,0.95009995,0.01329169,0.049900055
0,0.060177885,0.011494127,0.93982214
0,0.9508669,0.013415521,0.049133122
0,0.059333272,0.01658485,0.94066674
0,0.93191457,0.017183796,0.06808543
0,0.89885783,0.0731605,0.10114217
0,0.051146556,0.010618312,0.94885343
0,0.04970002,0.011360028,0.9503
0,0.057085972,0.015214535,0.942914
0,0.044105563,0.019123966,0.9558944
0,0.0661077,0.050065402,0.9338923
0,0.055900253,0.017638333,0.9440997
0,0.057687767,0.01183874,0.94231224
0,0.049255554,0.013292208,0.95074445
0,0.25784862,0.11716427,0.7421514
0,0.054289535,0.009784256,0.9457105
0,0.05131313,0.008975287,0.9486869
0,0.0533339,0.0183091,0.9466661
0,0.04993678,0.015281397,0.9500632
0,0.053719986,0.008338099,0.94628
0,0.054945994,0.00992339,0.945054
0,0.050392643,0.011729785,0.9496074
0,0.052987285,0.017046314,0.9470127
0,0.054020386,0.017366726,0.9459796
0,0.06310556,0.019443529,0.9368944
0,0.12611409,0.039386638,0.8738859
0,0.05588198,0.02914748,0.944118
0,0.82121366,0.08517995,0.17878634
0,0.54274833,0.2206589,0.45725167
0,0.2614028,0.17718957,0.7385972
0,0.05873836,0.02120512,0.94126165
0,0.050976638,0.0127566,0.94902337
0,0.058654595,0.01697523,0.9413454
0,0.34622252,0.2624122,0.6537775
0,0.0645825,0.016489385,0.93541753
0,0.95291173,0.010477111,0.047088265
0,0.0535406,0.010732032,0.9464594
0,0.95685804,0.010462442,0.04314196
0,0.8410534,0.09088999,0.15894657
0,0.942965,0.020912495,0.05703503
0,0.059049785,0.01087619,0.9409502
0,0.75629115,0.17712805,0.24370885
0,0.37609655,0.23396409,0.62390345
0,0.07457561,0.015171043,0.9254244
1,0.60182804,0.123917505,0.39817196
1,0.066325046,0.023617685,0.93367493
1,0.0725663,0.022724632,0.9274337
1,0.05061039,0.013102817,0.94938964
1,0.26401848,0.26003724,0.7359815
1,0.051334426,0.010727951,0.94866556
1,0.058760308,0.013287529,0.9412397
1,0.059796743,0.015449749,0.94020325
1,0.15793334,0.11486022,0.84206665
1,0.048536513,0.007714195,0.95146346
1,0.047226608,0.024108835,0.9527734
1,0.06219978,0.013186557,0.9378002
1,0.054437593,0.011302147,0.9455624
1,0.050928585,0.013183529,0.9490714
1,0.08168822,0.015265536,0.9183118
1,0.07469801,0.04457052,0.92530197
